,mean_MSE,mean_ESS,Run_Time,Lost_tracks
EDH,3.4538422,,1.1111682999999175,0.0
wEDH,2.674561,8.361085891723633,1.2096478000003117,0.0
LEDH,3.640854,,1.378554399998393,0.0
wLEDH,3.110082,8.687003135681152,1.5138299999998708,0.0
